bvets vehicle performance table 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P10P11,P11P12,P12,P13,1,2,3,4,5,6,7,8,9,10,11,12,WF60,1,2,3,4,5,6,7,8,9,WF40,1,2,3,4,5,6,7,8,9,10,11,12,WF10
#k,78.4532,9.80665,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10263,39140,47897,58035,71224,88692,126625,199379,1734757,2341374,1489956,1552727,1415175,1197965,886731,84645,107474,138936,229646,551768,11921147,10188104,5802409,4417454,2943420,2293229,1983072,2236819,2128798,2683532,3238266,3793000,4347734,4902468,5457202,6011936,6566670,7121404,7676138,8230871,8785605,9340339,9841227,10342114,10843002,11343889,11844776,12345664,12846551,13347438,13848326,14349213,15272613,16196012,17119412,18042811,18966211,19889610,20813010,21736409,22659809,23583208,24506608,25430007,26353407
2,9608,35181,42157,50784,61752,75436,100400,142353,407191,2341374,1489956,1552727,1415175,1197965,886731,78213,98106,124572,193420,379517,3547654,10188104,5802409,4417454,2943420,2293229,1983072,2236819,2128798,2683532,3238266,3793000,4347734,4902468,5457202,6011936,6566670,7121404,7676138,8230871,8785605,9340339,9841227,10342114,10843002,11343889,11844776,12345664,12846551,13347438,13848326,14349213,15272613,16196012,17119412,18042811,18966211,19889610,20813010,21736409,22659809,23583208,24506608,25430007,26353407
4,9019,31422,37120,44448,53658,64476,81314,107424,204304,460637,1489956,1552727,1415175,1197965,886731,72351,89754,112161,165351,281999,1066085,10188104,5802409,4417454,2943420,2293229,1983072,2236819,2128798,2683532,3238266,3793000,4347734,4902468,5457202,6011936,6566670,7121404,7676138,8230871,8785605,9340339,9841227,10342114,10843002,11343889,11844776,12345664,12846551,13347438,13848326,14349213,15272613,16196012,17119412,18042811,18966211,19889610,20813010,21736409,22659809,23583208,24506608,25430007,26353407
6,8487,27848,32669,38869,46668,55278,66856,84033,129364,206271,1107350,1552727,1415175,1197965,886731,66989,82267,101344,143044,220313,553946,3626716,5802409,4417454,2943420,2293229,1983072,2236819,2128798,2683532,3238266,3793000,4347734,4902468,5457202,6011936,6566670,7121404,7676138,8230871,8785605,9340339,9841227,10342114,10843002,11343889,11844776,12345664,12846551,13347438,13848326,14349213,15272613,16196012,17119412,18042811,18966211,19889610,20813010,21736409,22659809,23583208,24506608,25430007,26353407
8,8003,24447,28707,33922,40576,47459,55552,67360,91411,125047,252607,372768,1415175,1197965,886731,62067,75522,91841,124941,178222,354724,1004127,5802409,4417454,2943420,2293229,1983072,2236819,2128798,2683532,3238266,3793000,4347734,4902468,5457202,6011936,6566670,7121404,7676138,8230871,8785605,9340339,9841227,10342114,10843002,11343889,11844776,12345664,12846551,13347438,13848326,14349213,15272613,16196012,17119412,18042811,18966211,19889610,20813010,21736409,22659809,23583208,24506608,25430007,26353407
10,7562,21208,25161,29507,35223,40737,46490,54915,68744,86373,128710,161790,286451,742153,886731,57535,69417,83436,109989,147880,253106,511221,5802409,4417454,2943420,2293229,1983072,2236819,2128798,2683532,3238266,3793000,4347734,4902468,5457202,6011936,6566670,7121404,7676138,8230871,8785605,9340339,9841227,10342114,10843002,11343889,11844776,12345664,12846551,13347438,13848326,14349213,15272613,16196012,17119412,18042811,18966211,19889610,20813010,21736409,22659809,23583208,24506608,25430007,26353407
12,7158,18121,21968,25546,30486,34901,39073,45293,53762,64035,82474,97520,135465,196811,458470,53350,63867,75953,97454,125079,192763,324738,3482005,4417454,2943420,2293229,1983072,2236819,2128798,2683532,3238266,3793000,4347734,4902468,5457202,6011936,6566670,7121404,7676138,8230871,8785605,9340339,9841227,10342114,10843002,11343889,11844776,12345664,12846551,13347438,13848326,14349213,15272613,16196012,17119412,18042811,18966211,19889610,20813010,21736409,22659809,23583208,24506608,25430007,26353407
14,6787,15175,19079,21972,26266,29791,32896,37643,43158,49573,58745,67290,84083,103736,144335,49475,58803,69254,86808,107378,153266,230766,760541,4417454,2943420,2293229,1983072,2236819,2128798,2683532,3238266,3793000,4347734,4902468,5457202,6011936,6566670,7121404,7676138,8230871,8785605,9340339,9841227,10342114,10843002,11343889,11844776,12345664,12846551,13347438,13848326,14349213,15272613,16196012,17119412,18042811,18966211,19889610,20813010,21736409,22659809,23583208,24506608,25430007,26353407
16,6444,12363,16454,18732,22484,25282,27678,31422,35272,39478,44406,49893,58753,67290,80118,45877,54165,63224,77666,93273,125607,175305,372527,1791737,2943420,2293229,1983072,2236819,2128798,2683532,3238266,3793000,4347734,4902468,5457202,6011936,6566670,7121404,7676138,8230871,8785605,9340339,9841227,10342114,10843002,11343889,11844776,12345664,12846551,13347438,13848326,14349213,15272613,16196012,17119412,18042811,18966211,19889610,20813010,21736409,22659809,23583208,24506608,25430007,26353407
