Bvets Motor Noise Table 0.01,,,,,,,,,,,,,,,,,
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.086,0,0,,,,,,,,,,,,,,,
1.72,0,0.5,,,,,,,,,,,,,,,
2.58,0,0.5,,,,,,,,,,,,,,,
7.482,,0.5,,,,,,,,,,,,,,,
7.7314,,0.2,0,,,,,,,,,,,,,,
7.74,,0,1,,,,,,,,,,,,,,
7.998,,,1,,,,,,,,,,,,,,
13.588,,,1,,,,,,,,0.5,0,,0,,,
19.35,,,,,,,,,,,0,0.5,,,,,
24.08,,,,,,,,,,,,0,,0.3,,,
28.036,,,,,,,,,,,,0,,,0,,
30.1,,,0,,,,,,,,,,,0.5,,,
38.7,,,,,,,,,,,,,,0,0.4,0,
46.526,,,,,,,,,,,,,,,0,0.4,0
55.298,,,,,,,,,,,,,,,,0,0.3
