BveTs Vehicle Performance Table 1.00,
#,C-Empty
0,1.00
1,93.79
2,93.79
3,93.79
4,93.79
5,93.79
6,93.79
7,93.79
8,93.79
9,93.79
10,93.79
11,93.79
12,93.79
13,93.79
14,93.79
15,93.79
16,93.79
17,93.79
18,93.79
19,93.79
20,93.79
21,93.79
22,93.79
23,93.79
24,93.79
25,93.79
26,93.79
27,93.79
28,93.79
29,93.79
30,93.79
31,93.79
32,93.79
33,93.79
34,93.79
35,93.79
36,93.79
37,93.79
38,93.79
39,93.79
40,93.79
41,93.79
42,93.79
43,93.79
44,93.79
45,93.79
46,93.79
47,93.79
48,93.79
49,93.79
50,93.79
51,93.79
52,93.79
53,93.79
54,93.79
55,93.79
56,93.79
57,94.30
58,95.23
59,96.16
60,97.10
61,97.36
62,97.64
63,97.94
64,98.26
65,98.61
66,98.96
67,99.34
68,99.73
69,100.14
70,100.57
71,101.00
72,101.45
73,101.92
74,102.40
75,102.89
76,103.39
77,103.90
78,104.42
79,104.96
80,104.52
81,103.23
82,101.97
83,100.74
84,99.54
85,98.37
86,97.23
87,96.11
88,95.02
89,93.95
90,92.91
91,91.89
92,90.89
93,89.91
94,88.95
95,88.02
96,87.10
97,86.20
98,85.32
99,84.46
100,83.62
101,82.79
102,81.98
103,81.18
104,80.40
105,79.63
106,78.88
107,78.15
108,77.42
109,76.71
110,76.02
111,75.33
112,74.66
113,74.00
114,73.35
115,72.71
116,72.08
117,71.47
118,70.86
119,70.27
120,69.68
121,69.10
122,68.54
123,67.98
124,67.43
125,66.89
126,66.36
127,65.84
128,65.33
129,64.82
130,64.32
131,63.83
132,63.35
133,62.87
134,62.40
135,61.94
136,61.48
137,61.03
138,60.59
139,60.16
140,59.73
141,59.30
142,58.88
143,58.47
144,58.07
145,57.67
146,57.27
147,56.88
148,56.50
149,56.12
150,55.74
