BveTs Vehicle Performance Table 1.00,
#,C-Max
0,1.00
1,164.32
2,164.32
3,164.32
4,164.32
5,164.32
6,164.32
7,164.32
8,164.32
9,164.32
10,164.32
11,164.32
12,164.32
13,164.32
14,164.32
15,164.32
16,164.32
17,164.32
18,164.32
19,164.32
20,164.32
21,164.32
22,164.32
23,164.32
24,164.32
25,164.32
26,164.32
27,164.32
28,164.32
29,164.32
30,164.32
31,164.32
32,164.32
33,164.32
34,164.32
35,164.32
36,164.32
37,164.32
38,164.32
39,164.32
40,164.32
41,164.32
42,164.32
43,164.32
44,164.32
45,164.32
46,164.32
47,164.32
48,164.32
49,164.32
50,164.32
51,166.78
52,169.25
53,171.71
54,174.18
55,176.64
56,179.11
57,181.57
58,184.03
59,186.50
60,188.96
61,185.87
62,182.87
63,179.97
64,177.15
65,174.43
66,171.79
67,169.22
68,166.73
69,164.32
70,161.97
71,159.69
72,157.47
73,155.31
74,153.21
75,151.17
76,149.18
77,147.24
78,145.36
79,143.52
80,141.72
81,139.97
82,138.27
83,136.60
84,134.97
85,133.39
86,131.84
87,130.32
88,128.84
89,127.39
90,125.98
91,124.59
92,123.24
93,121.91
94,120.62
95,119.35
96,118.10
97,116.89
98,115.69
99,114.52
100,113.38
101,112.26
102,111.16
103,110.08
104,109.02
105,107.98
106,106.96
107,105.96
108,104.98
109,104.02
110,103.07
111,102.14
112,101.23
113,100.34
114,99.45
115,98.59
116,97.74
117,96.90
118,96.08
119,95.28
120,94.48
121,93.70
122,92.93
123,92.18
124,91.43
125,90.70
126,89.98
127,89.27
128,88.58
129,87.89
130,87.21
131,86.55
132,85.89
133,85.25
134,84.61
135,83.98
136,83.37
137,82.76
138,82.16
139,81.57
140,80.98
141,80.41
142,79.84
143,79.29
144,78.74
145,78.19
146,77.66
147,77.13
148,76.61
149,76.09
150,75.59
