BveTs Vehicle Performance Table 1.00,
#,
0,1.00
1,41.08
2,41.08
3,41.08
4,41.08
5,41.08
6,41.08
7,41.08
8,41.08
9,41.08
10,41.08
11,41.08
12,41.08
13,41.08
14,41.08
15,41.08
16,41.08
17,41.08
18,41.08
19,41.08
20,41.08
21,41.08
22,41.08
23,41.08
24,41.08
25,41.08
26,41.08
27,41.08
28,41.08
29,41.08
30,41.08
31,41.08
32,41.08
33,41.08
34,41.08
35,41.08
36,41.08
37,41.08
38,41.08
39,41.08
40,41.08
41,41.08
42,41.08
43,41.08
44,41.08
45,41.08
46,41.08
47,41.08
48,41.08
49,41.08
50,41.08
51,41.08
52,41.08
53,41.08
54,41.08
55,41.08
56,41.08
57,41.08
58,41.08
59,41.08
60,41.08
61,40.41
62,39.75
63,39.12
64,38.51
65,37.92
66,37.34
67,36.79
68,36.25
69,35.72
70,35.21
71,34.71
72,34.23
73,33.76
74,33.31
75,32.86
76,32.43
77,32.01
78,31.60
79,31.20
80,30.81
81,30.43
82,30.06
83,29.70
84,29.34
85,29.00
86,28.66
87,28.33
88,28.01
89,27.69
90,27.39
91,27.09
92,26.79
93,26.50
94,26.22
95,25.94
96,25.67
97,25.41
98,25.15
99,24.90
100,24.65
101,24.40
102,24.16
103,23.93
104,23.70
105,23.47
106,23.25
107,23.04
108,22.82
109,22.61
110,22.41
111,22.20
112,22.01
113,21.81
114,21.62
115,21.43
116,21.25
117,21.07
118,20.89
119,20.71
120,20.54
121,20.37
122,20.20
123,20.04
124,19.88
125,19.72
126,19.56
127,19.41
128,19.26
129,19.11
130,18.96
131,18.81
132,18.67
133,18.53
134,18.39
135,18.26
136,18.12
137,17.99
138,17.86
139,17.73
140,17.61
141,17.48
142,17.36
143,17.24
144,17.12
145,17.00
146,16.88
147,16.77
148,16.65
149,16.54
150,16.43
