BveTs Vehicle Performance Table 1.00,
#,F-Empty
0,1
1,52619
2,52619
3,52619
4,52619
5,52619
6,52619
7,52619
8,52619
9,52619
10,52619
11,52619
12,52619
13,52619
14,52619
15,52619
16,52619
17,52619
18,52619
19,52619
20,52619
21,52619
22,52619
23,52619
24,52619
25,52619
26,52619
27,52619
28,52619
29,52619
30,52619
31,52619
32,52619
33,52619
34,52619
35,52619
36,52619
37,52619
38,52619
39,52619
40,52619
41,52619
42,52619
43,52619
44,52619
45,52619
46,52619
47,52619
48,52619
49,52619
50,52619
51,52619
52,52619
53,52619
54,52619
55,52619
56,52619
57,52619
58,52619
59,52619
60,52619
61,52619
62,52619
63,52619
64,52619
65,52619
66,52619
67,52619
68,52619
69,52619
70,52619
71,52619
72,52619
73,52619
74,52619
75,52619
76,52619
77,52619
78,52619
79,52619
80,51998
81,50848
82,49738
83,48664
84,47626
85,46623
86,45651
87,44711
88,43801
89,42919
90,42064
91,41236
92,40433
93,39653
94,38897
95,38164
96,37451
97,36759
98,36086
99,35433
100,34798
101,34180
102,33579
103,32995
104,32426
105,31872
106,31333
107,30808
108,30296
109,29798
110,29312
111,28838
112,28377
113,27926
114,27487
115,27058
116,26640
117,26231
118,25832
119,25443
120,25063
121,24691
122,24328
123,23973
124,23626
125,23287
126,22956
127,22631
128,22314
129,22004
130,21700
131,21403
132,21112
133,20827
134,20548
135,20275
136,20007
137,19745
138,19488
139,19237
140,18990
141,18748
142,18511
143,18279
144,18051
145,17828
146,17609
147,17393
148,17183
149,16976
150,16772
