BveTs Vehicle Performance Table 1.00,,,,,
#,c,,,,
#,1,2,3,4,5
#,p1c,p2c,p3c,p4c,p5c
0,58.1,72.1,90,106.9,106.9
1,58.1,72.1,90,106.9,106.9
2,58.1,72.1,90,106.9,106.9
3,58.1,72.1,90,106.9,106.9
4,58.1,72.1,90,106.9,106.9
5,58.1,72.1,90,106.9,106.9
6,58.1,72.1,90,106.9,106.9
7,55.5,72.1,90,106.9,106.9
8,48.6,72.1,90,106.9,106.9
9,43.2,72.1,90,106.9,106.9
10,38.8,72.1,90,106.9,106.9
11,35.3,72.1,90,106.9,106.9
12,32.4,72.1,90,106.9,106.9
13,29.9,72.1,90,106.9,106.9
14,27.7,72.1,90,106.9,106.9
15,25.9,72.1,90,106.9,106.9
16,24.3,72.1,90,106.9,106.9
17,22.9,72.1,90,106.9,106.9
18,21.6,72.1,90,106.9,106.9
19,20.4,72.1,90,106.9,106.9
20,19.4,72.1,90,106.9,106.9
21,18.5,72.1,90,106.9,106.9
22,17.7,72.1,90,106.9,106.9
23,16.9,72.1,90,106.9,106.9
24,16.2,72.1,90,106.9,106.9
25,15.5,72.1,90,106.9,106.9
26,14.9,72.1,90,106.9,106.9
27,14.4,72.1,90,106.9,106.9
28,13.9,72.1,90,106.9,106.9
29,13.4,72.1,90,106.9,106.9
30,12.9,72.1,90,106.9,106.9
31,12.5,72.1,90,106.9,106.9
32,12.1,72.1,90,106.9,106.9
33,11.8,72.1,90,106.9,106.9
34,11.4,72.1,90,106.9,106.9
35,11.1,72.1,90,106.9,106.9
36,10.8,72.1,90,106.9,106.9
37,10.5,72.1,90,106.9,106.9
38,10.2,72.1,90,106.9,106.9
39,10,72.1,90,106.9,106.9
40,9.7,72.1,90,106.9,106.9
41,9.5,72.1,90,106.9,106.9
42,9.2,72.1,90,106.9,106.9
43,9,72.1,90,106.9,106.9
44,8.8,72.1,90,106.9,106.9
45,8.6,72.1,90,106.9,106.9
46,8.4,72.1,90,106.9,106.9
47,8.3,72.1,90,106.9,106.9
48,8.1,72.1,90,106.9,106.9
49,7.9,72.1,90,106.9,106.9
50,7.8,72.1,90,106.9,106.9
51,7.6,72.1,90,106.9,106.9
52,7.5,72.1,90,106.9,106.9
53,7.3,72.1,90,106.9,106.9
54,7.2,72.1,90,106.9,106.9
55,7.1,72.1,90,106.9,106.9
56,6.9,72.1,90,106.9,106.9
57,6.8,72.1,90,106.9,106.9
58,6.7,72.1,90,106.9,106.9
59,6.6,72.1,90,106.9,106.9
60,6.5,72.1,90,106.9,106.9
61,6.4,72.1,90,106.9,106.9
62,6.3,72.1,90,106.9,106.9
63,6.2,72.1,90,106.9,106.9
64,6.1,72.1,90,106.9,106.9
65,6,72.1,90,106.9,106.9
66,5.9,72.1,90,106.9,106.9
67,5.8,72.1,90,106.9,106.9
68,5.7,72.1,90,106.9,106.9
69,5.6,72.1,90,106.9,106.9
70,5.5,72.1,90,106.9,106.9
71,5.5,72.1,90,106.9,106.9
72,5.4,72.1,90,106.9,106.9
73,5.3,72.1,90,106.9,106.9
74,5.2,72.1,90,106.9,106.9
75,5.2,72.1,90,106.9,106.9
76,5.1,72.1,90,106.9,106.9
77,5,72.1,90,106.9,106.9
78,5,72.1,90,106.9,106.9
79,4.9,72.1,90,106.9,106.9
80,4.9,72.1,90,106.9,106.9
81,4.8,72.1,90,106.9,106.9
82,4.7,72.1,90,106.9,106.9
83,4.7,72.1,90,106.9,106.9
84,4.6,72.1,90,106.9,106.9
85,4.6,72.1,90,106.9,106.9
86,4.5,72.1,90,106.9,106.9
87,4.5,72.1,90,106.9,106.9
88,4.4,72.1,90,106.9,106.9
89,4.4,72.1,90,106.9,106.9
90,4.3,72.1,90,106.1,106.1
91,4.3,72.1,90,104.9,104.9
92,4.2,72.1,90,103.8,103.8
93,4.2,72.1,90,102.7,102.7
94,4.1,72.1,90,101.6,101.6
95,4.1,72.1,90,100.5,100.5
96,4,72.1,90,99.5,99.5
97,4,72.1,90,98.4,98.4
98,4,72.1,90,97.4,97.4
99,3.9,72.1,90,96.5,96.5
100,3.9,72.1,90,95.5,95.5
101,3.8,72.1,90,94.5,94.5
102,3.8,72.1,90,93.6,93.6
103,3.8,72.1,90,92.7,92.7
104,3.7,72.1,89.7,91.8,91.8
105,3.7,72.1,88.9,90.9,90.9
106,3.7,72.1,88,90.1,90.1
107,3.6,72.1,87.2,89.2,89.2
108,3.6,72.1,86.4,88.4,88.4
109,3.6,72.1,85.6,87.6,87.6
110,3.5,72.1,84.8,86.8,86.8
111,3.5,72.1,84.1,86,86
112,3.5,72.1,83.3,85.3,85.3
113,3.4,72.1,82.6,84.5,84.5
114,3.4,72.1,81.9,83.8,83.8
115,3.4,72.1,81.2,83,83
116,3.3,72.1,80.5,82.3,82.3
117,3.3,71.9,79.8,81.6,81.6
118,3.3,71.3,79.1,80.9,80.9
119,3.3,70.7,78.4,80.2,80.2
120,3.2,70.1,77.8,79.6,79.6
121,3.2,69.6,77.1,78.9,78.9
122,3.2,69,76.5,78.3,78.3
123,3.2,68.4,75.9,77.6,77.6
124,3.1,67.9,75.3,77,77
125,3.1,67.3,74.7,76.4,76.4
126,3.1,66.8,74.1,75.8,75.8
127,3.1,66.3,73.5,75.2,75.2
128,3,65.7,72.9,74.6,74.6
129,3,65.2,72.3,74,74
130,3,64.7,71.8,73.5,73.5
131,3,64.2,71.2,72.9,72.9
132,2.9,63.8,70.7,72.3,72.3
133,2.9,63.3,70.2,71.8,71.8
134,2.9,62.8,69.6,71.3,71.3
135,2.9,62.3,69.1,70.7,70.7
136,2.9,61.9,68.6,70.2,70.2
137,2.8,61.4,68.1,69.7,69.7
138,2.8,61,67.6,69.2,69.2
139,2.8,60.5,67.1,68.7,68.7
140,2.8,60.1,66.7,68.2,68.2
141,2.8,59.7,66.2,67.7,67.7
142,2.7,59.3,65.7,67.2,67.2
143,2.7,58.9,65.3,66.8,66.8
144,2.7,58.4,64.8,66.3,66.3
145,2.7,58,64.4,65.9,65.9
146,2.7,57.6,63.9,65.4,65.4
147,2.6,57.2,63.5,65,65
148,2.6,56.9,63.1,64.5,64.5
149,2.6,56.5,62.6,64.1,64.1
150,2.6,56.1,62.2,63.7,63.7
