BveTs Vehicle Performance Table 1.00,,,,,
#,f,,,,
#,1,2,3,4,5
#,p1f,p2f,p3f,p4f,p5f
0,42845,53189,66407,78884,78884
1,42845,53189,66407,78884,78884
2,42845,53189,66407,78884,78884
3,42845,53189,66407,78884,78884
4,42845,53189,66407,78884,78884
5,34276,53189,66407,78884,78884
6,25744.8,53189,66407,78884,78884
7,17511.5,53189,66407,78884,78884
8,12541.3,53189,66407,78884,78884
9,9342.5,53189,66407,78884,78884
10,7179.1,53189,66407,78884,78884
11,5657,53189,66407,78884,78884
12,4551.1,53189,66407,78884,78884
13,3725.7,53189,66407,78884,78884
14,3095.6,53189,66407,78884,78884
15,2605.2,53189,66407,78884,78884
16,2217,53189,66407,78884,78884
17,1905.2,53189,66407,78884,78884
18,1651.5,53189,66407,78884,78884
19,1442.7,53189,66407,78884,78884
20,1269.1,53189,66407,78884,78884
21,1123.4,53189,66407,78884,78884
22,1000,53189,66407,78884,78884
23,894.8,53189,66407,78884,78884
24,804.5,53189,66407,78884,78884
25,726.5,53189,66407,78884,78884
26,658.6,53189,66407,78884,78884
27,599.3,53189,66407,78884,78884
28,547.2,53189,66407,78884,78884
29,501.3,53189,66407,78884,78884
30,460.5,53189,66407,78884,78884
31,424.3,53189,66407,78884,78884
32,391.9,53189,66407,78884,78884
33,362.9,53189,66407,78884,78884
34,336.8,53189,66407,78884,78884
35,313.3,53189,66407,78884,78884
36,292,53189,66407,78884,78884
37,272.6,53189,66407,78884,78884
38,255,53189,66407,78884,78884
39,239,53189,66407,78884,78884
40,224.3,53189,66407,78884,78884
41,210.9,53189,66407,78884,78884
42,198.6,53189,66407,78884,78884
43,187.2,53189,66407,78884,78884
44,176.8,53189,66407,78884,78884
45,167.1,53189,66407,78884,78884
46,158.2,53189,66407,78884,78884
47,149.9,53189,66407,78884,78884
48,142.2,53189,66407,78884,78884
49,135.1,53189,66407,78884,78884
50,128.4,53189,66407,78884,78884
51,122.2,53189,66407,78884,78884
52,116.4,53189,66407,78884,78884
53,111,53189,66407,78884,78884
54,105.9,53189,66407,78884,78884
55,101.2,53189,66407,78884,78884
56,96.7,53189,66407,78884,78884
57,92.6,53189,66407,78884,78884
58,88.6,53189,66407,78884,78884
59,84.9,53189,66407,78884,78884
60,81.4,53189,66407,78884,78884
61,78.1,53189,66407,78884,78884
62,75,53189,66407,78884,78884
63,72.1,53189,66407,78884,78884
64,69.3,53189,66407,78884,78884
65,66.6,53189,66407,78884,78884
66,64.2,53189,66407,78884,78884
67,61.8,53189,66407,78641.6,78849.8
68,59.5,53189,66407,77701.6,77920.8
69,57.4,53189,66407,76786.4,77016.1
70,55.4,53189,66407,75894.8,76134.6
71,53.4,53189,65842.8,75026,75275.6
72,51.6,53189,65092,74179.2,74438
