BveTs Vehicle Performance Table 1.00,,,,,
#,fMax,,,,
#,1,2,3,4,5
#,p1fMax,p2fMax,p3fMax,p4fMax,p5fMax
0,71661,88962,111070,131938,131938
1,71661,88962,111070,131938,131938
2,71661,88962,111070,131938,131938
3,71661,88962,111070,131938,131938
4,71661,88962,111070,131938,131938
5,41021.2,88962,111070,131938,131938
6,26004.9,88962,111070,131938,131938
7,17688.4,88962,111070,131938,131938
8,12668,88962,111070,131938,131938
9,9436.8,88962,111070,131938,131938
10,7251.6,88962,111070,131938,131938
11,5714.1,88962,111070,131938,131938
12,4597.1,88962,111070,131938,131938
13,3763.3,88962,111070,131938,131938
14,3126.9,88962,111070,131938,131938
15,2631.5,88962,111070,131938,131938
16,2239.4,88962,111070,131938,131938
17,1924.5,88962,111070,131938,131938
18,1668.2,88962,111070,131938,131938
19,1457.3,88962,111070,131938,131938
20,1281.9,88962,111070,131938,131938
21,1134.7,88962,111070,131938,131938
22,1010.1,88962,111070,131938,131938
23,903.9,88962,111070,131938,131938
24,812.7,88962,111070,131938,131938
25,733.8,88962,111070,131938,131938
26,665.3,88962,111070,131938,131938
27,605.4,88962,111070,131938,131938
28,552.8,88962,111070,131938,131938
29,506.3,88962,111070,131938,131938
30,465.2,88962,111070,131938,131938
31,428.6,88962,111070,131938,131938
32,395.9,88962,111070,131938,131938
33,366.6,88962,111070,131938,131938
34,340.2,88962,111070,131938,131938
35,316.4,88962,111070,131938,131938
36,294.9,88962,111070,131938,131938
37,275.4,88962,111070,131938,131938
38,257.6,88962,111070,131938,131938
39,241.4,88962,111070,131938,131938
40,226.6,88962,111070,131938,131938
41,213,88962,111070,131938,131938
42,200.6,88962,111070,131938,131938
43,189.1,88962,111070,131938,131938
44,178.6,88962,111070,131938,131938
45,168.8,88962,111070,131938,131938
46,159.8,88962,111070,131938,131938
47,151.4,88962,111070,131938,131938
48,143.7,88962,111070,131938,131938
49,136.4,88962,111070,131938,131938
50,129.7,88962,111070,131938,131938
51,123.5,88962,111070,131938,131938
52,117.6,88962,111070,131938,131938
53,112.1,88962,111070,131938,131938
54,107,88962,111070,131938,131938
55,102.2,88962,111070,131938,131938
56,97.7,88962,111070,131938,131938
57,93.5,88962,111070,131938,131938
58,89.5,88962,111070,131938,131938
59,85.8,88962,111070,131938,131938
60,82.2,88962,111070,128032.7,128206.7
61,78.9,88962,111070,124255.5,124448.4
62,75.8,88962,111070,120648.5,120858.7
63,72.8,88962,111070,117201.5,117427.5
64,70,88962,111070,113904.9,114145.5
65,67.3,88962,111070,110750,111004.1
66,64.8,88962,109836,107728.7,107995
67,62.4,88962,106870.7,104833.4,105111
68,60.1,88962,104027.6,102057.2,102345
69,58,88962,101300,99393.3,99690.7
70,55.9,88962,98681.6,96835.9,97141.9
71,54,88962,96166.7,94379.1,94693
72,52.1,88962,93749.6,92017.8,92338.8
73,50.4,88962,91425.4,89746.8,90074.5
74,48.7,88186.3,89189.3,87561.7,87895.3
75,47.1,86046.5,87036.9,85458.1,85797.1
76,45.5,83985.9,84963.8,83431.9,83775.8
77,44.1,82000.6,82966.3,81479.2,81827.6
78,42.7,80087,81040.6,79596.6,79948.9
79,41.3,78241.6,79183.3,77780.7,78136.5
80,40.1,76461.1,77391.1,76028.2,76387.3
81,38.8,74742.5,75661,74336.3,74698.1
82,37.7,73082.9,73990.1,72702.1,73066.4
83,36.5,71479.6,72375.7,71123,71489.5
84,35.5,69930.1,70815.2,69596.5,69964.9
85,34.4,68431.9,69306.2,68120.2,68490.3
86,33.4,66982.8,67846.5,66692,67063.4
87,32.5,65580.5,66433.9,65309.7,65682.3
88,31.6,64223.2,65066.3,63971.4,64344.9
89,30.7,62908.8,63741.9,62675.1,63049.4
90,29.8,61635.6,62458.8,61419.2,61794
91,29,60401.7,61215.2,60201.9,60577.1
92,28.2,59205.7,60009.6,59021.6,59397
93,27.5,58045.9,58840.4,57876.9,58252.4
94,26.8,56920.8,57706.1,56766.3,57141.6
95,26.1,55829.2,56605.4,55688.4,56063.5
96,25.4,54769.5,55536.8,54641.9,55016.7
97,24.7,53740.7,54499.2,53625.6,54000
98,24.1,52741.4,53491.3,52638.4,53012.2
99,23.5,51770.6,52512,51679.1,52052.3
100,22.9,50827.1,51560.2,50746.6,51119.1
101,22.4,49910,50634.9,49840.1,50211.6
102,21.8,49018.2,49735,48958.4,49329
103,21.3,48150.8,48859.7,48100.6,48470.3
104,20.8,47306.9,48008,47266,47634.6
105,20.3,46485.6,47179.2,46453.6,46821.2
106,19.8,45686.3,46372.2,45662.7,46029.1
107,19.4,44907.9,45586.5,44892.5,45257.7
108,18.9,44149.9,44821.2,44142.3,44506.2
109,18.5,43411.5,44075.6,43411.4,43773.9
110,18.1,42692,43349.1,42699,43060.2
111,17.7,41990.8,42641,42004.7,42364.4
112,17.3,41307.2,41950.6,41327.7,41686
113,16.9,40640.7,41277.4,40667.5,41024.3
114,16.5,39990.7,40620.7,40023.5,40378.9
115,16.2,39356.7,39980.2,39395.2,39749.1
116,15.8,38738,39355.1,38782.1,39134.4
117,15.5,38134.2,38745.1,38183.7,38534.4
118,15.2,37544.9,38149.6,37599.5,37948.6
119,14.8,36969.6,37568.1,37029,37376.5
120,14.5,36407.7,37000.3,36471.9,36817.7
121,14.2,35859,36445.6,35927.7,36271.8
122,13.9,35322.9,35903.7,35395.9,35738.4
123,13.7,34799.2,35374.3,34876.3,35217.1
124,13.4,34287.3,34856.8,34368.4,34707.5
125,13.1,33787,34350.9,33871.9,34209.4
126,12.9,33297.9,33856.4,33386.5,33722.2
127,12.6,32819.7,33372.7,32911.7,33245.8
128,12.4,32352,32899.7,32447.4,32779.7
129,12.1,31894.5,32437.1,31993.1,32323.7
130,11.9,31447,31984.4,31548.7,31877.5
131,11.7,31009.1,31541.4,31113.7,31440.9
132,11.5,30580.5,31107.9,30688,31013.4
133,11.2,30161.1,30683.5,30271.3,30595
